time 1685445125 136404, type 3, code 0, value 41616
time 1685445125 136404, type 3, code 1, value 40517
time 1685445125 136404, type 0, code 0, value 0
time 1685445125 146141, type 3, code 0, value 41206
time 1685445125 146141, type 3, code 1, value 40031
time 1685445125 146141, type 0, code 0, value 0
time 1685445125 153637, type 3, code 0, value 39875
time 1685445125 153637, type 3, code 1, value 38852
time 1685445125 153637, type 0, code 0, value 0
time 1685445125 161585, type 3, code 0, value 37895
time 1685445125 161585, type 3, code 1, value 37327
time 1685445125 161585, type 0, code 0, value 0
time 1685445125 168667, type 3, code 0, value 36086
time 1685445125 168667, type 3, code 1, value 36703
time 1685445125 168667, type 0, code 0, value 0
time 1685445125 176279, type 3, code 0, value 34926
time 1685445125 176279, type 0, code 0, value 0
time 1685445125 184751, type 3, code 0, value 33697
time 1685445125 184751, type 3, code 1, value 36911
time 1685445125 184751, type 0, code 0, value 0
time 1685445125 192256, type 3, code 0, value 33151
time 1685445125 192256, type 3, code 1, value 37188
time 1685445125 192256, type 0, code 0, value 0
time 1685445125 200329, type 3, code 0, value 32707
time 1685445125 200329, type 3, code 1, value 37465
time 1685445125 200329, type 0, code 0, value 0
time 1685445125 208611, type 3, code 0, value 32537
time 1685445125 208611, type 3, code 1, value 37604
time 1685445125 208611, type 0, code 0, value 0
time 1685445125 217404, type 3, code 0, value 32434
time 1685445125 217404, type 3, code 1, value 37743
time 1685445125 217404, type 0, code 0, value 0
time 1685445125 224308, type 3, code 0, value 32366
time 1685445125 224308, type 0, code 0, value 0
time 1685445125 233336, type 3, code 0, value 32332
time 1685445125 233336, type 3, code 1, value 37812
time 1685445125 233336, type 0, code 0, value 0
time 1685445125 240887, type 3, code 0, value 32195
time 1685445125 240887, type 3, code 1, value 37882
time 1685445125 240887, type 0, code 0, value 0
time 1685445125 249733, type 3, code 0, value 31888
time 1685445125 249733, type 0, code 0, value 0
time 1685445125 256116, type 3, code 0, value 31683
time 1685445125 256116, type 0, code 0, value 0
time 1685445125 264315, type 3, code 0, value 31615
time 1685445125 264315, type 0, code 0, value 0
time 1685445125 289454, type 3, code 0, value 32161
time 1685445125 289454, type 3, code 1, value 37673
time 1685445125 289454, type 0, code 0, value 0
time 1685445125 298321, type 3, code 0, value 33014
time 1685445125 298321, type 3, code 1, value 37396
time 1685445125 298321, type 0, code 0, value 0
time 1685445125 306073, type 3, code 0, value 35506
time 1685445125 306073, type 3, code 1, value 36911
time 1685445125 306073, type 0, code 0, value 0
time 1685445125 314187, type 3, code 0, value 38476
time 1685445125 314187, type 0, code 0, value 0
time 1685445125 322351, type 3, code 0, value 41172
time 1685445125 322351, type 3, code 1, value 36703
time 1685445125 322351, type 0, code 0, value 0
time 1685445125 331344, type 3, code 0, value 43493
time 1685445125 331344, type 3, code 1, value 36564
time 1685445125 331344, type 0, code 0, value 0
time 1685445125 338918, type 3, code 0, value 46463
time 1685445125 338918, type 0, code 0, value 0
time 1685445125 346306, type 3, code 0, value 48101
time 1685445125 346306, type 0, code 0, value 0
time 1685445125 354831, type 3, code 0, value 49057
time 1685445125 354831, type 3, code 1, value 36633
time 1685445125 354831, type 0, code 0, value 0
time 1685445125 362126, type 3, code 0, value 49364
time 1685445125 362126, type 3, code 1, value 36703
time 1685445125 362126, type 0, code 0, value 0
time 1685445125 369656, type 3, code 1, value 36772
time 1685445125 369656, type 0, code 0, value 0
time 1685445125 386689, type 3, code 0, value 49296
time 1685445125 386689, type 3, code 1, value 36841
time 1685445125 386689, type 0, code 0, value 0
time 1685445125 394334, type 3, code 0, value 48989
time 1685445125 394334, type 3, code 1, value 37119
time 1685445125 394334, type 0, code 0, value 0
time 1685445125 402428, type 3, code 0, value 47487
time 1685445125 402428, type 3, code 1, value 37882
time 1685445125 402428, type 0, code 0, value 0
time 1685445125 410534, type 3, code 0, value 45439
time 1685445125 410534, type 3, code 1, value 38575
time 1685445125 410534, type 0, code 0, value 0
time 1685445125 418144, type 3, code 0, value 42640
time 1685445125 418144, type 3, code 1, value 39130
time 1685445125 418144, type 0, code 0, value 0
time 1685445125 426193, type 3, code 0, value 39978
time 1685445125 426193, type 3, code 1, value 39268
time 1685445125 426193, type 0, code 0, value 0
